scene,arm,accuracy,dt_s,dt_outer_s,n_worlds,t_s,wall_ms,iters,exhausted_frac
hard-clutter,icf-adaptive,0.001,,0.1,1,0.2,584.5820519607514,156,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,0.30000000000000004,269.61311302147806,69,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,0.4,399.11780692636967,107,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,0.5,236.42989806830883,65,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,0.6000000000000001,145.61318117193878,41,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,0.7000000000000001,66.52978900820017,17,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,0.8,88.9783981256187,27,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,0.9,110.9991220291704,29,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,1.0,12.121511856094003,4,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,1.1,13.054652139544487,3,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,1.2000000000000002,54.22096396796405,13,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,1.3,21.562510868534446,5,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,1.4000000000000001,6.869092117995024,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,1.5,35.93175997957587,9,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,1.6,7.972359890118241,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,1.7000000000000002,39.35098787769675,10,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,1.8,7.964517921209335,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,1.9000000000000001,21.18999813683331,5,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,2.0,56.363752810284495,14,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,2.1,17.18979189172387,5,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,2.2,6.467205006629229,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,2.3000000000000003,5.912967957556248,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,2.4000000000000004,9.540179977193475,3,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,2.5,48.58444398269057,15,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,2.6,8.745257975533605,3,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,2.7,22.743927082046866,7,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,2.8000000000000003,5.962152034044266,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,2.9000000000000004,8.638456929475069,3,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,3.0,10.991662973538041,3,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,3.1,6.203907076269388,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,3.2,5.642449017614126,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,3.3000000000000003,5.407023010775447,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,3.4000000000000004,6.826907861977816,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,3.5,6.841621128842235,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,3.6,7.970547070726752,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,3.7,5.918885814025998,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,3.8000000000000003,7.3928439524024725,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,3.9000000000000004,6.548878038302064,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,4.0,8.765548933297396,3,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,4.1000000000000005,19.650792004540563,7,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,4.2,14.137648977339268,4,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,4.3,10.862217983230948,3,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,4.4,9.947615209966898,3,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,4.5,23.7214551307261,7,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,4.6000000000000005,17.478748923167586,6,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,4.7,6.898907944560051,2,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,4.800000000000001,3.4275909420102835,1,0.0
hard-clutter,icf-adaptive,0.001,,0.1,1,4.9,3.751710057258606,1,0.0
hard-clutter,mujoco,,0.01,0.1,1,0.2,7.340634940192103,10,0.0
