arm,dt_s,accuracy,kp,kd,k,slide_speed,n_worlds,unstable,wall_s_per_sim_s,exhausted_frac,pen_box_mean_over_static,pen_box_max_m,pen_tip_mean_over_static,pen_tip_max_m,chatter_vz_rms_m_s,box_lift_max_m,box_pitch_rate_rms,tip_over_box_frac,rel_vx_rms_m_s,track_rms_m,box_displacement_m,box_displacement_commanded_m
icf-adaptive,,0.01,100000.0,200.0,100000.0,0.3,1,False,0.1107939862614048,0.0,0.9975046515464783,2.5626271963119507e-05,0.23112565279006958,0.0001833401620388031,1.7937225493369624e-05,-2.3525208234786987e-05,0.0055763437412679195,0.0,0.08284860104322433,0.0001492322189733386,0.27996405959129333,0.27999999999999997
icf-adaptive,,0.001,100000.0,200.0,100000.0,0.3,1,False,0.11756180303877797,0.0,0.997501015663147,2.5626271963119507e-05,0.23123592138290405,0.0001833401620388031,1.7893733456730843e-05,-2.3525208234786987e-05,0.005576120223850012,0.0,0.08284828066825867,0.0001492313895141706,0.27996399998664856,0.27999999999999997
icf-adaptive,,0.0001,100000.0,200.0,100000.0,0.3,1,False,0.24003747971086153,0.0,0.9975848197937012,2.745911478996277e-05,0.21481211483478546,9.312480688095093e-05,5.03687588206958e-05,-2.347305417060852e-05,0.0016286446480080485,0.0,0.25525620579719543,0.0002301899075973779,0.27996495366096497,0.27999999999999997
mujoco,0.01,,100000.0,200.0,100000.0,0.3,1,True,0.08096289379393747,0.0,27.110811233520508,0.0009809993207454681,0.0,0.0,,,,,,,1.1484686812668343e-10,0.27999999999999997
mujoco,0.005,,100000.0,200.0,100000.0,0.3,1,True,0.07981275545497393,0.0,2.814950704574585,0.0001850724220275879,0.0,0.0,,,,,,,8.880143257013196e-13,0.27999999999999997
mujoco,0.002,,100000.0,200.0,100000.0,0.3,1,False,0.18773164006014323,0.0,0.09276286512613297,4.267692565917969e-05,0.1275632679462433,0.0005575977265834808,0.10092158615589142,0.009360045194625854,1.7556549310684204,0.0,0.36827221512794495,0.0005482429987750947,0.2799972593784332,0.27999999999999997
mujoco,0.001,,100000.0,200.0,100000.0,0.3,1,False,0.2821604927584272,0.0,0.041278451681137085,0.00016254931688308716,0.0,0.0,0.06795540452003479,0.005461014807224274,1.0867356061935425,0.0,0.3559412658214569,0.0004682360449805856,0.2804592549800873,0.27999999999999997
mujoco-adaptive,,0.1,100000.0,200.0,100000.0,0.3,1,False,0.1668705409874433,0.0,0.7581113576889038,0.0006111450493335724,0.0,0.0,0.7015082836151123,0.19242613017559052,23.934913635253906,0.0,1.824678897857666,0.0009931932436302304,1.593716025352478,0.27999999999999997
mujoco-adaptive,,0.01,100000.0,200.0,100000.0,0.3,1,False,0.171244564498293,0.0,0.5436988472938538,8.064880967140198e-05,0.23752698302268982,0.0013901367783546448,0.17702652513980865,0.02065957710146904,3.7193710803985596,0.0,0.4447547495365143,0.0006443132879212499,0.353268563747406,0.27999999999999997
mujoco-adaptive,,0.001,100000.0,200.0,100000.0,0.3,1,False,0.2353613368428216,0.0,0.5468258857727051,0.000142708420753479,0.19425290822982788,0.000525154173374176,0.09263119846582413,0.005884163081645966,1.2867380380630493,0.0,0.35410696268081665,0.0005729052354581654,0.2799997925758362,0.27999999999999997
mujoco-adaptive,,0.0001,100000.0,200.0,100000.0,0.3,1,False,0.35126781107151306,0.0,0.31300088763237,3.9208680391311646e-05,0.0169051643460989,1.2859702110290527e-05,0.055768340826034546,0.0037766173481941223,0.6013264060020447,0.0,0.3236376941204071,0.00045835087075829506,0.2799997925758362,0.27999999999999997
