boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard
HIST {'total_samples': 126055, 'floor_samples': 3, 'floor_fraction': 2.379913529808417e-05, 'saturation_depth': 1.1175870895385742e-07, 'boundaries': 144, 'capped_boundaries': 0, 'unfinished_worlds': 0}
144,17,1613,6.807968e-05,5.821445e-03,1.464750e-02,0.000000e+00,0.000000e+00,163,9.536743e-07,0,0,0
145,14,1627,1.010997e-04,5.747748e-03,1.319098e-02,0.000000e+00,0.000000e+00,199,9.916071e-05,0,0,0
146,18,1645,8.814968e-05,5.662791e-03,1.195059e-02,0.000000e+00,0.000000e+00,198,1.867190e-04,0,0,0
147,16,1661,6.021932e-05,5.449122e-03,1.111756e-02,0.000000e+00,0.000000e+00,212,2.110004e-05,0,0,0
148,15,1676,2.092309e-04,5.694105e-03,1.248373e-02,0.000000e+00,0.000000e+00,183,5.333647e-04,0,0,0
149,10,1686,1.639547e-04,5.299536e-03,1.566484e-02,0.000000e+00,0.000000e+00,188,3.460385e-04,0,0,0
150,11,1697,2.284162e-04,5.852563e-03,1.412787e-02,0.000000e+00,0.000000e+00,160,1.782179e-04,0,0,0
151,13,1710,7.522758e-05,5.410315e-03,1.306282e-02,0.000000e+00,0.000000e+00,186,3.026798e-05,0,0,0
152,11,1721,3.709458e-05,5.738039e-03,1.409954e-02,0.000000e+00,0.000000e+00,178,2.801418e-06,0,0,0
153,12,1733,2.251938e-05,5.621545e-03,1.212203e-02,0.000000e+00,0.000000e+00,201,1.140814e-04,0,0,0
154,16,1749,1.604902e-04,5.481896e-03,1.221151e-02,0.000000e+00,0.000000e+00,205,3.902242e-04,0,0,0
155,14,1763,2.589170e-04,5.454109e-03,1.223476e-02,0.000000e+00,0.000000e+00,193,5.251169e-05,0,0,0
156,14,1777,7.617287e-05,5.818695e-03,1.277539e-02,0.000000e+00,0.000000e+00,171,2.292246e-04,0,0,0
157,13,1790,1.396611e-04,5.318385e-03,1.375656e-02,0.000000e+00,0.000000e+00,220,1.582652e-04,0,0,0
158,11,1801,2.686866e-05,5.542784e-03,1.643685e-02,0.000000e+00,0.000000e+00,186,1.073480e-04,0,0,0
159,12,1813,2.052076e-04,5.456126e-03,1.065254e-02,0.000000e+00,0.000000e+00,204,4.186062e-06,0,0,0
160,10,1823,2.198387e-04,5.503465e-03,1.309575e-02,0.000000e+00,0.000000e+00,187,3.339648e-04,0,0,0
161,14,1837,1.644343e-04,5.638960e-03,1.298099e-02,0.000000e+00,0.000000e+00,186,1.460500e-05,0,0,0
162,11,1848,5.534850e-05,5.621172e-03,1.236099e-02,0.000000e+00,0.000000e+00,190,6.288290e-06,0,0,0
163,16,1864,2.928637e-04,5.493903e-03,1.228109e-02,0.000000e+00,0.000000e+00,213,7.749349e-05,0,0,0
164,14,1878,3.821217e-05,5.624401e-03,1.158819e-02,0.000000e+00,0.000000e+00,192,4.447252e-04,0,0,0
165,15,1893,3.688969e-05,5.174346e-03,1.053179e-02,0.000000e+00,0.000000e+00,214,4.444793e-04,0,0,0
166,11,1904,3.886921e-04,5.605561e-03,1.101042e-02,0.000000e+00,0.000000e+00,179,3.814697e-06,0,0,0
167,10,1914,4.965812e-05,5.224146e-03,1.117248e-02,0.000000e+00,0.000000e+00,212,3.045797e-05,0,0,0
168,12,1926,3.781170e-05,5.470196e-03,1.091062e-02,0.000000e+00,0.000000e+00,179,8.456083e-05,0,0,0
169,10,1936,3.252644e-05,5.219291e-03,1.223306e-02,0.000000e+00,0.000000e+00,186,2.387562e-04,0,0,0
170,11,1947,8.508563e-05,5.801618e-03,1.763877e-02,0.000000e+00,0.000000e+00,164,4.297495e-05,0,0,0
171,13,1960,1.506647e-04,5.494920e-03,1.157656e-02,0.000000e+00,0.000000e+00,200,4.398897e-04,0,0,0
172,11,1971,2.479367e-04,5.626170e-03,1.244243e-02,0.000000e+00,0.000000e+00,184,5.063415e-05,0,0,0
173,16,1987,1.077540e-04,5.321670e-03,1.324681e-02,0.000000e+00,0.000000e+00,219,8.706003e-06,0,0,0
174,15,2002,6.546732e-05,5.427482e-03,1.215742e-02,0.000000e+00,0.000000e+00,185,1.171231e-04,0,0,0
175,12,2014,3.027217e-04,5.528953e-03,1.497070e-02,0.000000e+00,0.000000e+00,199,2.853572e-06,0,0,0
176,16,2030,1.614355e-04,5.490261e-03,1.119894e-02,0.000000e+00,0.000000e+00,197,2.403930e-05,0,0,0
177,13,2043,1.894450e-04,5.294917e-03,1.323897e-02,0.000000e+00,0.000000e+00,209,2.877414e-05,0,0,0
178,14,2057,6.209128e-05,5.539718e-03,1.266602e-02,0.000000e+00,0.000000e+00,186,4.822016e-05,0,0,0
179,16,2073,3.704801e-05,5.513424e-03,1.452871e-02,0.000000e+00,0.000000e+00,177,1.479408e-04,0,0,0
180,14,2087,4.380476e-05,5.695875e-03,1.174372e-02,0.000000e+00,0.000000e+00,175,4.186444e-04,0,0,0
181,16,2103,1.649279e-04,5.668550e-03,1.223745e-02,0.000000e+00,0.000000e+00,203,7.383525e-05,0,0,0
182,15,2118,4.522502e-05,5.614354e-03,1.111836e-02,0.000000e+00,0.000000e+00,190,3.291741e-04,0,0,0
183,19,2137,2.439180e-04,5.486163e-03,1.322238e-02,0.000000e+00,0.000000e+00,206,4.188269e-04,0,0,0
184,13,2150,2.583489e-05,5.615717e-03,1.278697e-02,0.000000e+00,0.000000e+00,195,8.795038e-05,0,0,0
185,16,2166,2.053566e-06,5.194996e-03,1.342174e-02,0.000000e+00,0.000000e+00,196,9.447411e-04,0,0,0
186,12,2178,4.656613e-08,5.531793e-03,1.130834e-02,0.000000e+00,0.000000e+00,192,1.907349e-06,0,1,0
187,12,2190,1.284201e-04,5.207845e-03,1.089000e-02,0.000000e+00,0.000000e+00,217,4.492551e-04,0,0,0
188,12,2202,1.610350e-04,5.553752e-03,1.806797e-02,0.000000e+00,0.000000e+00,171,5.887821e-06,0,0,0
189,10,2212,1.442991e-04,5.484906e-03,1.265579e-02,0.000000e+00,0.000000e+00,175,2.986807e-04,0,0,0
190,12,2224,1.566112e-04,5.648323e-03,1.418594e-02,0.000000e+00,0.000000e+00,190,2.104305e-04,0,0,0
191,11,2235,3.103632e-05,5.280566e-03,1.144987e-02,0.000000e+00,0.000000e+00,198,6.165355e-06,0,0,0
HIST {'total_samples': 175453, 'floor_samples': 4, 'floor_fraction': 2.2798128273668733e-05, 'saturation_depth': 4.6566128730773926e-08, 'boundaries': 192, 'capped_boundaries': 0, 'unfinished_worlds': 0}
