boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
150,13,1734,1.132863e-03,5.186324e-03,1.039041e-02,0.000000e+00,0.000000e+00
151,12,1746,1.086887e-03,5.202202e-03,1.006141e-02,0.000000e+00,0.000000e+00
152,11,1757,1.116064e-03,5.457405e-03,1.116170e-02,0.000000e+00,0.000000e+00
153,13,1770,1.245501e-03,5.233432e-03,1.000000e-02,0.000000e+00,0.000000e+00
154,12,1782,1.040306e-03,5.397199e-03,1.061657e-02,0.000000e+00,0.000000e+00
155,15,1797,8.067663e-04,5.236086e-03,1.154549e-02,0.000000e+00,0.000000e+00
156,11,1808,1.082850e-03,5.556491e-03,1.393983e-02,0.000000e+00,0.000000e+00
157,11,1819,1.127573e-03,5.418886e-03,1.018003e-02,0.000000e+00,0.000000e+00
158,10,1829,1.106936e-03,5.325596e-03,1.002237e-02,0.000000e+00,0.000000e+00
159,10,1839,1.472068e-03,5.223988e-03,1.000000e-02,0.000000e+00,0.000000e+00
160,11,1850,1.138151e-03,5.250055e-03,1.167495e-02,0.000000e+00,0.000000e+00
161,11,1861,1.348826e-03,5.360382e-03,1.242297e-02,0.000000e+00,0.000000e+00
162,12,1873,1.498470e-03,5.428747e-03,1.291024e-02,0.000000e+00,0.000000e+00
163,15,1888,6.114149e-04,5.231964e-03,1.000000e-02,0.000000e+00,0.000000e+00
164,13,1901,1.028791e-03,5.295368e-03,1.238322e-02,0.000000e+00,0.000000e+00
165,13,1914,1.129495e-03,5.231176e-03,1.041645e-02,0.000000e+00,0.000000e+00
166,11,1925,1.142387e-03,5.314685e-03,1.256796e-02,0.000000e+00,0.000000e+00
167,12,1937,1.224631e-03,5.257972e-03,1.648207e-02,0.000000e+00,0.000000e+00
168,15,1952,1.019608e-03,5.328742e-03,1.813028e-02,0.000000e+00,0.000000e+00
169,13,1965,1.113631e-03,5.201716e-03,1.776604e-02,0.000000e+00,0.000000e+00
170,17,1982,9.519788e-04,5.254566e-03,1.817925e-02,0.000000e+00,0.000000e+00
171,12,1994,1.306083e-03,5.199245e-03,1.817925e-02,0.000000e+00,0.000000e+00
172,14,2008,1.077798e-03,5.309161e-03,1.310408e-02,0.000000e+00,0.000000e+00
173,21,2029,8.971101e-04,5.013029e-03,1.000000e-02,0.000000e+00,0.000000e+00
174,15,2044,9.647603e-04,5.158696e-03,1.101950e-02,0.000000e+00,0.000000e+00
175,17,2061,1.208104e-03,5.101935e-03,1.212145e-02,0.000000e+00,0.000000e+00
176,14,2075,9.021488e-04,5.089334e-03,1.176137e-02,0.000000e+00,0.000000e+00
177,15,2090,8.488275e-04,4.924474e-03,1.029951e-02,0.000000e+00,0.000000e+00
178,15,2105,9.202547e-04,5.046180e-03,1.115291e-02,0.000000e+00,0.000000e+00
179,13,2118,1.007927e-03,5.045068e-03,1.000000e-02,0.000000e+00,0.000000e+00
