boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max,rejects,err_max,n_debt,n_subfloor,n_guard,eworld,qmax_i,qmax,ncon
1649,11,21654,1.304772e-03,5.160059e-03,1.106506e-02,0.000000e+00,0.000000e+00,225,5.738601e-04,0,0,0,198,18,1.335333e+03,69680
1650,15,21669,1.115895e-03,5.132124e-03,1.318299e-02,0.000000e+00,0.000000e+00,238,9.006770e-05,0,0,0,222,18,1.336961e+03,70425
1651,15,21684,1.008666e-03,5.092801e-03,1.000000e-02,0.000000e+00,0.000000e+00,232,4.393276e-05,0,0,0,87,18,1.338586e+03,70504
1652,12,21696,1.311105e-03,5.199279e-03,1.197900e-02,0.000000e+00,0.000000e+00,230,1.594493e-04,0,0,0,165,18,1.340185e+03,70801
1653,13,21709,1.200739e-03,5.135356e-03,1.069871e-02,0.000000e+00,0.000000e+00,250,3.313837e-05,0,0,0,85,18,1.341827e+03,70969
1654,13,21722,1.166223e-03,5.241183e-03,1.332693e-02,0.000000e+00,0.000000e+00,215,4.068285e-04,0,0,0,74,18,1.343447e+03,70352
1655,10,21732,1.458859e-03,5.105475e-03,1.000000e-02,0.000000e+00,0.000000e+00,221,1.378905e-04,0,0,0,65,18,1.345054e+03,70262
1656,12,21744,1.067162e-03,5.151005e-03,1.245043e-02,0.000000e+00,0.000000e+00,228,3.305092e-05,0,0,0,187,18,1.346700e+03,70377
1657,13,21757,1.182027e-03,4.994482e-03,1.060045e-02,0.000000e+00,0.000000e+00,242,2.718174e-05,0,0,0,200,18,1.348325e+03,70908
1658,13,21770,1.023727e-03,5.066716e-03,1.452424e-02,0.000000e+00,0.000000e+00,223,2.391319e-04,0,0,0,247,18,1.349936e+03,70805
1659,15,21785,1.237732e-03,5.013049e-03,1.070475e-02,0.000000e+00,0.000000e+00,242,6.978525e-04,0,0,0,15,18,1.351588e+03,71496
1660,11,21796,1.227376e-03,5.097339e-03,1.128049e-02,0.000000e+00,0.000000e+00,228,9.355825e-05,0,0,0,187,18,1.353211e+03,71501
