boundary,iters,cum_iters,ideal_min,ideal_mean,ideal_max,resid_min,resid_max
187,14,2296,8.358154e-05,5.071246e-03,1.224024e-02,0.000000e+00,0.000000e+00
188,15,2311,8.980744e-05,5.310765e-03,1.308572e-02,0.000000e+00,0.000000e+00
189,14,2325,6.801449e-05,5.130591e-03,1.218311e-02,0.000000e+00,0.000000e+00
190,15,2340,1.091044e-04,5.492668e-03,1.324962e-02,0.000000e+00,0.000000e+00
191,14,2354,2.519088e-04,5.447443e-03,1.057678e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 179810, 'floor_samples': 0, 'floor_fraction': 0.0, 'saturation_depth': 0.0, 'boundaries': 192, 'capped_boundaries': 0, 'unfinished_worlds': 0}
192,10,2364,1.937617e-05,5.540646e-03,1.152187e-02,0.000000e+00,0.000000e+00
193,22,2386,6.658956e-05,5.477007e-03,1.348783e-02,0.000000e+00,0.000000e+00
194,13,2399,4.590489e-05,5.364133e-03,1.325115e-02,0.000000e+00,0.000000e+00
195,15,2414,3.300142e-05,5.364552e-03,1.520634e-02,0.000000e+00,0.000000e+00
196,14,2428,2.213893e-04,5.475157e-03,1.761732e-02,0.000000e+00,0.000000e+00
197,13,2441,3.413297e-05,5.186135e-03,1.219563e-02,0.000000e+00,0.000000e+00
198,14,2455,6.584916e-05,5.446293e-03,1.449459e-02,0.000000e+00,0.000000e+00
199,13,2468,9.579584e-05,5.270343e-03,1.347611e-02,0.000000e+00,0.000000e+00
200,12,2480,2.264977e-05,5.654922e-03,1.419790e-02,0.000000e+00,0.000000e+00
201,11,2491,2.998859e-06,5.419580e-03,1.356754e-02,0.000000e+00,0.000000e+00
202,11,2502,5.967915e-05,5.553424e-03,1.380181e-02,0.000000e+00,0.000000e+00
203,10,2512,8.385628e-05,5.256798e-03,1.164841e-02,0.000000e+00,0.000000e+00
204,12,2524,1.806719e-04,5.273441e-03,1.619281e-02,0.000000e+00,0.000000e+00
205,11,2535,4.197937e-05,5.407516e-03,1.297957e-02,0.000000e+00,0.000000e+00
206,11,2546,1.996756e-05,5.533967e-03,1.138943e-02,0.000000e+00,0.000000e+00
207,12,2558,6.851740e-05,5.316216e-03,1.166528e-02,0.000000e+00,0.000000e+00
208,15,2573,1.630327e-04,5.521410e-03,1.302258e-02,0.000000e+00,0.000000e+00
209,16,2589,6.791204e-05,4.934406e-03,1.265940e-02,0.000000e+00,0.000000e+00
210,16,2605,1.660548e-05,5.393423e-03,1.293036e-02,0.000000e+00,0.000000e+00
211,14,2619,2.869545e-04,5.220775e-03,1.044445e-02,0.000000e+00,0.000000e+00
212,13,2632,2.562813e-04,4.974994e-03,1.249394e-02,0.000000e+00,0.000000e+00
213,12,2644,2.152706e-04,5.226505e-03,1.089000e-02,0.000000e+00,0.000000e+00
214,11,2655,1.099613e-04,5.152839e-03,1.080155e-02,0.000000e+00,0.000000e+00
215,11,2666,4.097819e-07,5.007649e-03,1.089000e-02,0.000000e+00,0.000000e+00
216,16,2682,6.465707e-05,5.162040e-03,1.281992e-02,0.000000e+00,0.000000e+00
217,13,2695,1.518056e-05,4.991711e-03,1.158716e-02,0.000000e+00,0.000000e+00
218,18,2713,2.313126e-04,5.464519e-03,1.245147e-02,0.000000e+00,0.000000e+00
219,16,2729,1.073768e-04,5.174631e-03,1.111785e-02,0.000000e+00,0.000000e+00
220,10,2739,2.195127e-05,5.187503e-03,1.291292e-02,0.000000e+00,0.000000e+00
221,13,2752,6.824266e-05,5.144472e-03,1.062014e-02,0.000000e+00,0.000000e+00
222,12,2764,8.130446e-05,5.337296e-03,1.183023e-02,0.000000e+00,0.000000e+00
223,16,2780,2.626330e-06,5.134818e-03,1.134732e-02,0.000000e+00,0.000000e+00
224,16,2796,1.238659e-06,5.298934e-03,1.640607e-02,0.000000e+00,0.000000e+00
225,12,2808,3.570504e-04,5.254828e-03,1.242756e-02,0.000000e+00,0.000000e+00
226,13,2821,2.361368e-05,5.400563e-03,1.094248e-02,0.000000e+00,0.000000e+00
227,17,2838,1.408160e-05,5.082575e-03,1.079906e-02,0.000000e+00,0.000000e+00
228,14,2852,1.140218e-04,5.396933e-03,1.514557e-02,0.000000e+00,0.000000e+00
229,14,2866,1.139333e-04,5.008573e-03,1.128531e-02,0.000000e+00,0.000000e+00
230,11,2877,2.847519e-05,5.413293e-03,1.197900e-02,0.000000e+00,0.000000e+00
231,15,2892,5.492009e-05,4.962658e-03,1.447931e-02,0.000000e+00,0.000000e+00
232,14,2906,4.305039e-05,5.233054e-03,1.345724e-02,0.000000e+00,0.000000e+00
233,17,2923,1.520850e-04,5.080517e-03,1.018856e-02,0.000000e+00,0.000000e+00
234,13,2936,8.495525e-05,5.273235e-03,1.154712e-02,0.000000e+00,0.000000e+00
235,14,2950,9.706710e-05,5.096776e-03,1.197900e-02,0.000000e+00,0.000000e+00
236,14,2964,4.368834e-05,5.385390e-03,1.438497e-02,0.000000e+00,0.000000e+00
237,12,2976,2.671033e-05,5.308533e-03,1.362369e-02,0.000000e+00,0.000000e+00
238,12,2988,9.805895e-05,5.203003e-03,1.089000e-02,0.000000e+00,0.000000e+00
239,13,3001,3.713369e-04,5.236240e-03,1.232148e-02,0.000000e+00,0.000000e+00
HIST {'total_samples': 232869, 'floor_samples': 1, 'floor_fraction': 4.29425986284134e-06, 'saturation_depth': 4.0978193283081055e-07, 'boundaries': 240, 'capped_boundaries': 0, 'unfinished_worlds': 0}
240,12,3013,1.064688e-04,5.118496e-03,1.499478e-02,0.000000e+00,0.000000e+00
241,11,3024,2.604257e-04,5.047266e-03,1.329523e-02,0.000000e+00,0.000000e+00
242,14,3038,1.801969e-04,5.402206e-03,1.736147e-02,0.000000e+00,0.000000e+00
243,12,3050,7.207971e-05,5.129807e-03,1.593993e-02,0.000000e+00,0.000000e+00
244,13,3063,4.328322e-05,5.309511e-03,1.416485e-02,0.000000e+00,0.000000e+00
245,12,3075,8.080155e-05,5.316336e-03,1.305462e-02,0.000000e+00,0.000000e+00
246,11,3086,8.631963e-05,5.514345e-03,1.296310e-02,0.000000e+00,0.000000e+00
247,10,3096,7.656403e-05,5.206445e-03,1.285389e-02,0.000000e+00,0.000000e+00
248,11,3107,2.692640e-04,5.553007e-03,1.214578e-02,0.000000e+00,0.000000e+00
249,13,3120,2.088025e-05,5.265224e-03,1.195036e-02,0.000000e+00,0.000000e+00
250,13,3133,2.344418e-04,5.546064e-03,1.330058e-02,0.000000e+00,0.000000e+00
251,11,3144,7.142313e-05,5.151649e-03,1.025170e-02,0.000000e+00,0.000000e+00
252,14,3158,2.068281e-04,5.456458e-03,1.222905e-02,0.000000e+00,0.000000e+00
253,12,3170,1.003500e-04,5.343053e-03,1.314284e-02,0.000000e+00,0.000000e+00
254,13,3183,7.264316e-07,5.498690e-03,1.333325e-02,0.000000e+00,0.000000e+00
255,10,3193,8.241273e-05,5.503143e-03,1.329507e-02,0.000000e+00,0.000000e+00
256,10,3203,2.095336e-04,5.406103e-03,1.449459e-02,0.000000e+00,0.000000e+00
257,12,3215,4.004687e-07,5.336562e-03,1.089000e-02,0.000000e+00,0.000000e+00
258,10,3225,2.161600e-05,5.513757e-03,1.226841e-02,0.000000e+00,0.000000e+00
259,10,3235,1.421710e-04,5.188676e-03,1.301330e-02,0.000000e+00,0.000000e+00
260,14,3249,1.190323e-04,5.382264e-03,1.652511e-02,0.000000e+00,0.000000e+00
261,12,3261,1.497986e-04,5.188595e-03,1.083793e-02,0.000000e+00,0.000000e+00
262,16,3277,1.313025e-04,5.500555e-03,1.292482e-02,0.000000e+00,0.000000e+00
263,13,3290,8.220319e-05,5.452028e-03,1.156071e-02,0.000000e+00,0.000000e+00
264,14,3304,4.677102e-05,5.549181e-03,1.560997e-02,0.000000e+00,0.000000e+00
